id,title,genres,averageRating,numVotes,releaseYear
tt0285403,Scrubs,"Comedy, Drama",8.4,277838,2001
tt1119644,Fringe,"Drama, Mystery, Sci-Fi",8.4,264325,2008
tt3920596,Big Little Lies,"Crime, Drama, Mystery",8.4,236846,2017
tt7221388,Cobra Kai,"Action, Comedy, Drama",8.4,231908,2018
tt9561862,"Love, Death & Robots","Action, Adventure, Animation",8.4,218305,2019
tt10155688,Mare of Easttown,"Crime, Drama, Mystery",8.4,206000,2021
tt0285331,24,"Action, Crime, Drama",8.4,202802,2001
tt2401256,The Night Of,"Crime, Drama, Mystery",8.4,183482,2016
tt0387199,Entourage,"Comedy, Drama",8.4,180518,2004
tt7657124,The Heroes,"Animation, Drama, History",8.4,170383,2008
tt8398600,After Life,"Comedy, Drama",8.4,161785,2019
tt1474684,Luther,"Crime, Drama, Mystery",8.4,159480,2010
tt0409591,Naruto,"Action, Adventure, Animation",8.4,148227,2002
tt2017109,Banshee,"Action, Crime, Drama",8.4,136515,2013
tt0458290,Star Wars: The Clone Wars,"Action, Adventure, Animation",8.4,133551,2008
tt2149175,The Americans,"Crime, Drama, Mystery",8.4,117747,2013
tt0491738,Psych,"Comedy, Crime, Mystery",8.4,116444,2006
tt9059760,Normal People,"Drama, Romance",8.4,105706,2020
tt0118480,Stargate SG-1,"Action, Adventure, Drama",8.4,105221,1997
